mass,diameter,variety
17.5,12.4,banded
18.3,12.5,banded
17.6,11.8,plain
17.3,12.3,whorled
116.6,82.3,plain
35.0,23.0,whorled
71.2,50.8,plain
21.5,14.4,banded
47.4,33.2,plain
15.8,11.2,spotted
22.8,16.7,banded
33.4,23.2,banded
8.6,5.6,plain
29.9,21.4,whorled
18.6,13.7,plain
16.3,12.0,banded
22.2,16.3,plain
25.9,18.1,spotted
18.6,13.7,whorled
29.0,20.2,spotted
14.9,9.9,spotted
20.7,15.4,plain
21.0,14.4,spotted
11.2,8.1,banded
9.9,6.5,spotted
18.8,13.2,spotted
47.6,34.7,banded
15.5,10.9,spotted
22.1,15.6,whorled
32.3,23.4,whorled
